id	stem	gloss	part_of_speech	strongs_list
345	enjoy	(LDV) to enjoy an event (John enjoys walking on the beach.)	Verb	H7306
346	enjoy	(LDV) to enjoy a thing (John enjoyed the party.)	Verb	H7306
347	enter	(LDV) to go into some place	Verb	G1524,H5954,G4897,G1525,G1531
348	enter	(LDV) to come into some place	Verb	G1524,H5954,G4897,G1525,G1531
349	entertain	(LDV) to amuse or interest people in a way that makes them feel good	Verb	G0324,G4910
350	entrust	(complex) to make someone responsible for doing something important	Verb	G4100
351	envy	(complex) to wish that you had someone else's things	Verb	G3788,H7068
352	envy	(complex) to want to live the way someone else lives (John envies those people.)	Verb	G3788,H7068
353	erase	(complex) to remove writing from paper	Verb	H4229,G1813
354	escape	(LDV) to get away from someone that is chasing you (John escaped from the police.)	Verb	G3944,G1579,H6405,H4655
355	escape	(LDV) to get out of some place (John escaped from prison.)	Verb	G3944,G1579,H6405,H4655
356	escape	(LDV) to escape from something dangerous (John escaped from the fire.)	Verb	G3944,G1579,H6405,H4655
357	establish	(complex) to start something that will last for a long time	Verb	H3559,H8239
358	exalt	(complex) to raise someone up in importance	Verb	G4888
359	examine	(LDV) to look at something closely, look at it in detail	Verb	H2713,H1305,H0952
360	exile	(complex) to force a group of people to leave their home country	Verb	H7633,H1473,H5112,H7622
361	exile	(complex) soldiers from one country take the people of another country back to the soldiers' home country	Verb	H7633,H1473,H5112,H7622
362	exist	(LDV) to be present	Verb	G1511,H1934,H1961,G4391
363	expect	(LDV) to expect (hope) someone to do something (John expects his son to do well on the test.)	Verb	G1679,G0553
364	expect	(LDV) to expect or plan to do something yourself (John expects to read that book next week.)	Verb	G1679,G0553
365	explain	(LDV) to explain or describe something to somebody so that it makes sense (John explained the problem to Mary.)	Verb	G3177,G1329
366	explain	(LDV) to describe to someone an event that happened	Verb	G3177,G1329
367	explain-how	(LDV) to explain or describe how people do something (Mary explained how people cook turkeys.)	Verb	
368	explore	(complex) to walk through and look at a place	Verb	G1830
369	fail	(LDV) something fails (intransitive) (John's plans failed.)	Verb	H1086
370	fail	(LDV) to not succeed in achieving something  (John failed to persuade the people to listen to him.)	Verb	H1086
371	faint	(complex) to lose consciousness, paired with 'to fall'	Verb	H4549,H4522,H5774,H3782,H5034
372	fall	(LDV) to fall downward onto or into something after being dropped, knocked over, or thrown (John threw the stone and it fell into the lake.)	Verb	G0634,G4098,G1120,G0377,G4363
373	fall	(LDV) a person unintentionally drops to the ground due to tripping, fainting, sleeping, etc. (but not dying) (John passed out and fell to the ground.)	Verb	G0634,G4098,G1120,G0377,G4363
374	fall	(LDV) to accidentally fall down onto something (Mary fell onto the chair.)	Verb	G0634,G4098,G1120,G0377,G4363
375	fall	(LDV) to fall down dead	Verb	G0634,G4098,G1120,G0377,G4363
376	fall	(LDV) to fall due to gravity  (The leaves fell.)	Verb	G0634,G4098,G1120,G0377,G4363
377	fall-prostrate	(complex) another term for 'to bow'	Verb	
378	fast	(complex) to not eat food so that you could pray	Verb	H6685
379	fear	(complex) to be afraid of something	Verb	H3025,H7297,H3372,H1204,H2851
380	fear-respect	(complex) to fear and respect someone	Verb	
381	feed	(LDV) to give food to someone	Verb	H3898
382	feed	(LDV) to physically put food into a person or animal's mouth (John fed the meat to his dog.)	Verb	H3898
383	feel	(LDV) to feel good, or bad or sick, etc	Verb	H5361,G4834,H4959,G2872,G0153
384	fight	(LDV) to fight a war against a person or country	Verb	G1264
385	fight	(LDV) to fight an individual, as in a fist-fight	Verb	G1264
386	fight	(LDV) animals fighting each other (The roosters fought each other.)	Verb	G1264
387	fight	(LDV) to fight (in) a war or battle (The kings fought in a war.)	Verb	G1264
388	fight	(LDV) to fight a battle or war	Verb	G1264
389	fill	(LDV) to fill up something (a container) with something	Verb	G4322,H4390,H4391,G1072,G1705
390	find	(LDV) to find something as a result of looking for it because it was lost	Verb	G2147,G0429
391	find	(LDV) to find something after searching, but not because the item was lost	Verb	G2147,G0429
392	find	(LDV) to accidentally find something, stumble across it	Verb	G2147,G0429
393	find-out	(LDV) to find out some bit of knoweldge (he found-out that ...)	Verb	
394	find-out	(LDV) to find out about something (John found out about the problem.)	Verb	
395	finish	(LDV) finish - used only in the analyzer	Verb	G5053,G1822
396	float	(LDV) to rest on top of the water	Verb	
397	flourish	(complex) to develop well and be successful	Verb	H6524,H5107,H6692
398	flow	(LDV) movement of a liquid from one place to another	Verb	H5413,G3901,H5047,G0131,H5064
399	fly	(LDV) to fly in the air like a bird or insect by flapping one's wings	Verb	H5774,G1600,G4072,H2070
400	fly	(LDV) something like an arrow moves through the air	Verb	H5774,G1600,G4072,H2070
401	fold	(LDV)	Verb	H1563,H3717,H8138,G4512
402	follow	(LDV) to follow behind someone who is walking	Verb	G3877,G1811
403	follow	(LDV) to follow the example of someone, try to be like that person, or to follow the guidance of someone	Verb	G3877,G1811
404	follow	(LDV) to follow or obey a political leader	Verb	G3877,G1811
405	follow	(LDV) to follow a road	Verb	G3877,G1811
406	forbid	(complex) to forbid someone to do something	Verb	G0546,H5106,G2008
407	force	(LDV) to force/require/cause something to happen	Verb	G3849,G0971,G4264,H2864,H1369
408	forget	(LDV) to forget about something	Verb	H5382
409	forget	(LDV) to forget to do something	Verb	H5382
410	forget	(LDV) to forget that an event occurred	Verb	H5382
411	forget	(LDV) to forget something (John forgot Mary's name.)	Verb	H5382
412	forgive	(LDV) to forgive someone generically; no fault is mentioned (Mary forgave John.)	Verb	H5545
413	forgive	(LDV) to forgive a sin (God forgives sins.)	Verb	H5545
414	forgive	(LDV) to forgive someone for something (Mary forgave John for his rude comment.)	Verb	H5545
415	forgive	(LDV) to forgive someone for a specified event (Mary forgave John for arriving late.)	Verb	H5545
416	forsake	(complex) paired with 'to leave'	Verb	G0620,H2186
417	free	(LDV) to free/release a slave or prisoner	Verb	H8281,H8271,G0630
418	frighten	(LDV)	Verb	G1629,G5399,G4426
419	frown	(complex) to make a confused exression with one's face	Verb	
420	fulfill	(complex alternate) to make something like a prophecy become true	Verb	G2005
421	gain	(LDV) to get something that you need like food or money	Verb	G2770,G3786,G2771
422	gather	(LDV) to gather people or animals together	Verb	H0622,H3953,H6014,H1219,G4758
423	gather	(LDV) to gather wheat, grain, wood, etc.	Verb	H0622,H3953,H6014,H1219,G4758
424	gather	(LDV) people or animals gather together	Verb	H0622,H3953,H6014,H1219,G4758
425	get	(LDV) to get something from somewhere	Verb	G2932,G4399
426	get	(LDV) to get something like a family member	Verb	G2932,G4399
427	get-off	(LDV) to get off of an animal	Verb	
428	get-on	(LDV) to get on an animal in order to ride it	Verb	
429	get-up	(LDV) to get up out of bed	Verb	
430	give	(LDV) to transfer ownership of something to someone (John gave a gift to Mary.)	Verb	G1325,H2859,G4776,H1069,G0626
431	give	(LDV) to physically transfer something to someone, not giving ownership (Mary gave/handed a book to John.)	Verb	G1325,H2859,G4776,H1069,G0626
432	give	(LDV) to give an abstract to someone (faith, widsom, power, a name, etc.) (God gives peace to us.)	Verb	G1325,H2859,G4776,H1069,G0626
433	give-attention	(complex) X gives his/her attention to Y, usually after Y seek-attention of X.	Verb	
434	glean	(complex) to pick up the crops that the harvesters left behind	Verb	H5953,H3950
435	glorify	(complex)  to give glory/praise to someone (God)	Verb	G1740
436	glorify	DELETE to praise and exalt someone	Verb	
437	gnash	(complex) to gnash one's teeth	Verb	
438	go	(LDV) to move from one place to another place	Verb	H0935,G0589,G5221,G0672,G4281
439	go	(LDV) a region's border goes from one place to another place	Verb	H0935,G0589,G5221,G0672,G4281
440	go-down	(LDV) to go down something like a mountain or ladder	Verb	
441	go-down	(LDV) to go to a place of lower elevation	Verb	
442	go-out	(LDV) to go out of a building	Verb	
443	go-up	(LDV) to go up something such as a mountain or ladder	Verb	
444	go-up	(LDV) to go to a place of higher elevation	Verb	
445	goodbye	"(LDV) to ""say goodbye"" (used by the person who is leaving)"	Verb	
446	goodbye	"(LDV) to ""say goodbye"" (used by the person who is staying)"	Verb	
447	govern	(LDV)	Verb	H8199,G1018,H7981,H7980
448	grab	(complex) to quickly take hold of something	Verb	
449	grasp	(complex) to hold something	Verb	H6642,H6908,H7061,G1405,H7062
450	greet	(LDV) to greet someone	Verb	
451	grieve	(complex) to feel extremely sad, especially because someone you love has died	Verb	H3013,G3600,H8428,G3996,G0524
452	groan	(complex) to make a long deep sound because you are in pain (John groaned.) paired with 'to cry out'	Verb	H0578,H5091,H5008,H5009
453	grow	(LDV) a non-human becomes larger (The tree grew.)	Verb	G2655,H6150,G0837,H3780,H7679
454	grow	(LDV) a person grows up (The boy grew up.)	Verb	G2655,H6150,G0837,H3780,H7679
455	grow	"(LDV) a plant ""grows"" somewhere, not stressing increase in size"	Verb	G2655,H6150,G0837,H3780,H7679
456	grow	(LDV) to grow a crop (John grew barley.)	Verb	G2655,H6150,G0837,H3780,H7679
457	grow	(LDV) a seed grows, sprouts; a plant starts growing from the seed	Verb	G2655,H6150,G0837,H3780,H7679
458	grow	(LDV) a human becomes larger (Your baby grew a lot last year.)	Verb	G2655,H6150,G0837,H3780,H7679
459	guard	(LDV) to guard something from an enemy, protect it (The soldiers guarded the city.)	Verb	G1314,H5201,H5341,G5440,H4929
460	guard	(LDV) to control the traffic into and out of some place (Soldiers guarded the farm.)	Verb	G1314,H5201,H5341,G5440,H4929
461	guide	(LDV) to lead someone to a place	Verb	H5148,G2519
462	hamstring	(complex) to cut the hamstrings of a horse or ox	Verb	H6132,H6131
463	hang	(LDV) something hangs on something (The towel hung on the wire.)	Verb	H2211,G2910,H5541,G1582
464	hang	(complex) to kill someone by hanging them	Verb	H2211,G2910,H5541,G1582
465	hang	(LDV) to hang something somewhere (He hung the towel on the wire.)	Verb	H2211,G2910,H5541,G1582
466	happen	(universal primitive) something happens	Verb	G5177,H4291
467	harm	(LDV) to have a bad effect on something	Verb	H2257
468	harvest	(complex) to harvest something (crops)	Verb	H0103,G2325,H7007,H7019
469	hate	(LDV) to hate someone or something	Verb	H8130,H0340,H8135
470	hate	(LDV) to hate doing something (John hates studying.)	Verb	H8130,H0340,H8135
471	have	(LDV) to own or possess something	Verb	G2480,G5409,G2206,H8323,G3643
472	have	(LDV) to have something like a family or friend (not ownership)	Verb	G2480,G5409,G2206,H8323,G3643
473	have	(LDV) to have a body part, like an eye or wings	Verb	G2480,G5409,G2206,H8323,G3643
474	have	(LDV) to have an abstract such as faith, joy, authority, etc.	Verb	G2480,G5409,G2206,H8323,G3643
475	have	(LDV) to have a disease or illness (John has a cold.)	Verb	G2480,G5409,G2206,H8323,G3643
476	have	(LDV) to have a part (A car has wheels.)	Verb	G2480,G5409,G2206,H8323,G3643
477	have	(LDV) to have an event (John had a party.)	Verb	G2480,G5409,G2206,H8323,G3643
478	have	(LDV) to have servants, slaves, people who work for someone (John has a maid.)	Verb	G2480,G5409,G2206,H8323,G3643
479	have	(LDV) something is at some place (The store has food.)	Verb	G2480,G5409,G2206,H8323,G3643
480	have	(LDV) to have a baby (John and Mary had a baby last week.)	Verb	G2480,G5409,G2206,H8323,G3643
481	heal	(complex) to heal someone from something	Verb	H1455
482	heal	(simple) a wound heals	Verb	H1455
483	hear	(universal primitive) to hear something (a sound)	Verb	H8085,G4257,G1251,G5219,G0191
484	hear	(universal primitive) to hear that some event happened (John heard that Mary read a book.)	Verb	H8085,G4257,G1251,G5219,G0191
485	hear	(universal primitive) to hear an event as it occurs (John heard Mary talking to a friend.)	Verb	H8085,G4257,G1251,G5219,G0191
486	hear	(universal primitive) to hear about something (John heard about the problem.)	Verb	H8085,G4257,G1251,G5219,G0191
487	heat	(LDV) to make something become hot	Verb	G2328,H2527,H2535,H2534
488	help	(LDV) to assist someone generically (Mary helped John through many difficult problems.)	Verb	G2137,H2391
489	help	(LDV) to assist someone with a specific event (Mary helped John read a book.)	Verb	G2137,H2391
490	hide	(LDV) to hide something from someone (John hid the book from Mary.)	Verb	H5641,H6845,H5603,H2934,G1192
491	hide	(LDV) to hide yourself  (John hid behind a tree.)	Verb	H5641,H6845,H5603,H2934,G1192
492	hide	(LDV) to hide from someone that is looking for you (John hid from Mary.)	Verb	H5641,H6845,H5603,H2934,G1192
493	hit	(LDV) to strike someone with a hand	Verb	G3817,G5299
494	hit	(LDV) an animal charges and hits another animal with its head	Verb	G3817,G5299
495	hit	(LDV) something strikes something else because it was thrown or swung	Verb	G3817,G5299
496	hit	(LDV) to hit something with something other than your hand	Verb	G3817,G5299
497	hold	(LDV) to hold something in your hand (John held the book.)	Verb	G0430,G4912,G0567,G5242,G4023
498	hold	(LDV) to hold something in your arms (Mary held the baby.)	Verb	G0430,G4912,G0567,G5242,G4023
499	hold	(LDV) to hold hands, not romantically (Mary held her baby's hand.)	Verb	G0430,G4912,G0567,G5242,G4023
500	honor	(LDV) do actions that show respect and admiration	Verb	G2358,G5097,G2472,H8036,G4461
501	honor	(LDV) to honor someone in a ceremony or special gesture (e.g., bowing)	Verb	G2358,G5097,G2472,H8036,G4461
502	hope	(LDV) to hope that something happens (John hopes that Mary will come to class.)	Verb	G0560,G4276
